category_1	category_2	correlation
beer	drinks_nos	0.0810803779914411
beer	energy_drink	0.06398060982675552
beer	hot_drinks	0.07443021714737302
beer	soft_drink	0.2673535183674751
beer	spirit	0.09754444267473696
beer	tap_beer	0.2052114325990833
beer	wine	0.005486424107285971
beer	fast_food	0.21443616444806768
beer	food_nos	0.008933276495199089
beer	ice_cream	0.022450568879422362
beer	slow_food	0.022412381627390735
beer	snack	0.11742406095152447
beer	sweets	-0.005964259385095971
beer	camping	0.08218104489542724
beer	deposit	0.3766990776757532
beer	facilities	0.054737894553199704
beer	festival	0.016515373084882243
beer	merchandising	0.020009849938487954
beer	non_food_nos	0.018924330198669563
beer	tobacco	0.1428467579784206
beer	nos	0.052102629856159044
beer	total_order_tkn	0.43611236729041014
drinks_nos	beer	0.0810803779914411
drinks_nos	energy_drink	0.05430119337303472
drinks_nos	hot_drinks	0.12214914175739035
drinks_nos	soft_drink	0.17270145694102132
drinks_nos	spirit	0.07034548243295388
drinks_nos	tap_beer	0.0061191841895118036
drinks_nos	wine	-0.0006441222997396208
drinks_nos	fast_food	0.22074003702139136
drinks_nos	food_nos	0.03691180657872818
drinks_nos	ice_cream	0.09510840954850959
drinks_nos	slow_food	0.05158031344628582
drinks_nos	snack	0.1623280538888969
drinks_nos	sweets	0.12388878516883144
drinks_nos	camping	0.12822191264663682
drinks_nos	deposit	0.08399288017016243
drinks_nos	facilities	0.06891422768783874
drinks_nos	festival	0.051166138033189486
drinks_nos	merchandising	0.028694684056556317
drinks_nos	non_food_nos	0.004440766649078758
drinks_nos	tobacco	0.07415255255634415
drinks_nos	nos	0.04175085116798803
drinks_nos	total_order_tkn	0.26540120129268274
energy_drink	beer	0.06398060982675552
energy_drink	drinks_nos	0.05430119337303472
energy_drink	hot_drinks	0.04006815277815635
energy_drink	soft_drink	0.17557235310891672
energy_drink	spirit	0.05625635746541632
energy_drink	tap_beer	0.052722801977444764
energy_drink	wine	-0.006235400417294939
energy_drink	fast_food	0.11600612043809629
energy_drink	food_nos	0.01674242013894753
energy_drink	ice_cream	0.023272734331121977
energy_drink	slow_food	0.027016411773714954
energy_drink	snack	0.07213753234215493
energy_drink	sweets	0.048671947618184594
energy_drink	camping	0.0651269299916643
energy_drink	deposit	0.12984444017405816
energy_drink	facilities	0.022767767231062965
energy_drink	festival	0.04143105905456662
energy_drink	merchandising	0.050237823495512986
energy_drink	non_food_nos	0.00545887818478808
energy_drink	tobacco	0.07769898744459507
energy_drink	nos	0.011008168594837463
energy_drink	total_order_tkn	0.1761413952417088
hot_drinks	beer	0.07443021714737302
hot_drinks	drinks_nos	0.12214914175739035
hot_drinks	energy_drink	0.04006815277815635
hot_drinks	soft_drink	0.10163860988591286
hot_drinks	spirit	0.06810950477249314
hot_drinks	tap_beer	0.08417434097412839
hot_drinks	wine	0.05182590859539579
hot_drinks	fast_food	0.1678449904157311
hot_drinks	food_nos	0.05846845739361394
hot_drinks	ice_cream	0.002051412612136885
hot_drinks	slow_food	0.07120088770966658
hot_drinks	snack	0.2479781978260504
hot_drinks	sweets	0.09402519075614581
hot_drinks	camping	0.06513490920561908
hot_drinks	deposit	0.11602684512708486
hot_drinks	facilities	0.06165031916328718
hot_drinks	festival	0.02163992383803016
hot_drinks	merchandising	0.02297436501627036
hot_drinks	non_food_nos	0.014259014765217433
hot_drinks	tobacco	0.04288565412667048
hot_drinks	nos	0.05337344111304027
hot_drinks	total_order_tkn	0.2531793527959367
soft_drink	beer	0.2673535183674751
soft_drink	drinks_nos	0.17270145694102132
soft_drink	energy_drink	0.17557235310891672
soft_drink	hot_drinks	0.10163860988591286
soft_drink	spirit	0.19780467526234274
soft_drink	tap_beer	0.15411284035999565
soft_drink	wine	0.03891904708817759
soft_drink	fast_food	0.3159465443191498
soft_drink	food_nos	0.05676588377472127
soft_drink	ice_cream	0.09755832948670856
soft_drink	slow_food	0.06088793723382744
soft_drink	snack	0.2522622918931372
soft_drink	sweets	0.09149819450905569
soft_drink	camping	0.15604386253697966
soft_drink	deposit	0.29906607666721746
soft_drink	facilities	0.10898655314894512
soft_drink	festival	0.0550103647311215
soft_drink	merchandising	0.03253313658003797
soft_drink	non_food_nos	0.03191552790845278
soft_drink	tobacco	0.17456017917356575
soft_drink	nos	0.028751240122445194
soft_drink	total_order_tkn	0.5559026559511355
spirit	beer	0.09754444267473696
spirit	drinks_nos	0.07034548243295388
spirit	energy_drink	0.05625635746541632
spirit	hot_drinks	0.06810950477249314
spirit	soft_drink	0.19780467526234274
spirit	tap_beer	0.11023809875538196
spirit	wine	0.08129703639138225
spirit	fast_food	0.15017163895909647
spirit	food_nos	0.010879955791686335
spirit	ice_cream	0.01949471410543813
spirit	slow_food	0.04902917820894628
spirit	snack	0.06984688070797887
spirit	sweets	0.010616948634191641
spirit	camping	0.03611107480370523
spirit	deposit	0.3279946082270093
spirit	facilities	0.0029571198883563718
spirit	festival	0.0017502838879310597
spirit	merchandising	0.00859887946371019
spirit	non_food_nos	0.00799907855922191
spirit	tobacco	0.09074746266427523
spirit	nos	0.04377706467554732
spirit	total_order_tkn	0.5489502674047795
tap_beer	beer	0.2052114325990833
tap_beer	drinks_nos	0.0061191841895118036
tap_beer	energy_drink	0.052722801977444764
tap_beer	hot_drinks	0.08417434097412839
tap_beer	soft_drink	0.15411284035999565
tap_beer	spirit	0.11023809875538196
tap_beer	wine	0.024506929041241878
tap_beer	fast_food	0.16555254624769086
tap_beer	food_nos	0.020912326536280505
tap_beer	ice_cream	-0.0358954192516008
tap_beer	slow_food	0.05586966092877076
tap_beer	snack	0.05622004784473924
tap_beer	sweets	-0.05074404618678123
tap_beer	camping	0.001846377170740104
tap_beer	deposit	0.5703541868281884
tap_beer	facilities	0.02854698697842024
tap_beer	festival	0.019248311467400452
tap_beer	merchandising	0.008796019321521667
tap_beer	non_food_nos	0.014439132378879534
tap_beer	tobacco	0.14406374498716512
tap_beer	nos	0.02017221716443002
tap_beer	total_order_tkn	0.48085828820346865
wine	beer	0.005486424107285971
wine	drinks_nos	-0.0006441222997396208
wine	energy_drink	-0.006235400417294939
wine	hot_drinks	0.05182590859539579
wine	soft_drink	0.03891904708817759
wine	spirit	0.08129703639138225
wine	tap_beer	0.024506929041241878
wine	fast_food	-0.0007274876445299851
wine	food_nos	0.003807921178404403
wine	ice_cream	-0.01684411944788314
